segundo,throughput,latencia_avg,latencia_p95,errores,clientes_activos,durante_falla,msgs_coordinacion
1,905,7.80,12.00,0,43,false,249
2,639,4.86,6.00,0,49,false,438
3,620,3.61,5.00,0,49,false,897
4,451,3.04,4.00,0,49,false,897
5,432,2.67,4.00,0,49,false,897
6,357,2.43,3.00,0,49,false,444
7,424,2.19,3.00,0,49,false,1368
8,437,1.99,3.00,0,49,false,1368
9,227,1.90,3.00,0,49,false,1368
10,383,1.77,3.00,0,49,false,1368
11,319,1.68,3.00,0,49,false,487
12,389,1.59,2.00,0,49,false,1563
13,369,1.51,2.00,0,49,false,1563
14,244,1.46,2.00,0,49,false,1563
15,409,1.39,2.00,0,49,false,1563
16,516,1.31,2.00,0,49,false,612
17,275,1.27,2.00,0,49,false,2308
18,436,1.22,2.00,0,49,false,1988
19,573,1.16,2.00,0,49,false,1988
20,245,1.13,2.00,0,49,false,1988
21,274,1.10,2.00,0,49,false,673
22,316,1.07,2.00,0,49,false,673
23,350,1.03,2.00,0,49,false,2671
24,291,1.01,2.00,0,49,false,2671
25,277,0.99,2.00,0,49,false,2671
26,274,0.97,2.00,0,49,false,2671
27,493,0.94,2.00,0,49,false,851
28,484,0.91,2.00,0,49,false,2643
29,287,0.89,2.00,0,49,false,2643
30,291,0.87,2.00,0,49,false,2643
31,253,0.86,2.00,0,49,false,2643
32,574,0.84,2.00,0,49,false,1063
33,509,0.82,2.00,0,49,false,3143
34,293,0.81,2.00,0,49,false,3143
35,279,0.79,2.00,0,49,false,3143
36,383,0.78,2.00,0,49,false,1300
37,352,0.76,2.00,0,49,false,1300
38,291,0.75,2.00,0,49,false,3288
39,337,0.74,2.00,0,49,false,3288
40,214,0.73,2.00,0,49,false,3288
41,219,0.72,2.00,0,49,false,3288
42,378,0.71,2.00,0,49,false,3288
43,365,0.70,2.00,0,49,false,1519
44,378,0.69,2.00,0,49,false,2985
45,366,0.68,2.00,0,49,false,3769
46,377,0.67,2.00,0,49,false,3769
47,346,0.66,2.00,0,49,false,3769
48,379,0.65,2.00,0,49,false,1833
49,372,0.64,2.00,0,49,false,3898
50,325,0.64,2.00,0,49,false,3898
51,359,0.63,2.00,0,49,false,3898
52,381,0.62,2.00,0,49,false,3898
53,376,0.61,2.00,0,49,false,2471
54,385,0.60,2.00,0,49,false,5415
55,282,0.60,2.00,0,49,false,5415
56,216,0.59,2.00,16,33,false,5415
57,248,0.59,2.00,16,33,false,5415
58,233,0.59,2.00,16,33,false,3756
59,241,0.58,2.00,16,33,false,6233
